names,position,nationality,mins played,shots,shots on target,goals,xG,chances created,assists,xA,passes,completed,tackles won,int,rec,avg distance,avg progress,shot-ending carry,goal-ending carry,end in chance,end in assist,shot-ending,goal-ending,total xG
MATS HUMMELS,1,ALL,333,5,1,0,0.3,2,0,0.28,310,0.93,2,10,18,9.1,5.8,0,0,1,0,11,2,2.13
ROBIN GOSENS,2,ALL,318,5,4,1,0.86,4,1,1.05,169,0.81,0,4,17,9.3,5.3,0,0,2,0,12,2,2.22
LEON GORETZKA,3,ALL,139,5,2,1,0.29,1,0,0.31,74,0.91,1,1,9,14.5,11.3,1,0,0,0,9,1,1.01
TONI KROOS,3,ALL,360,4,0,0,0.29,1,0,0.44,355,0.93,10,7,17,9.4,5.2,0,0,1,0,11,1,1.44
TIMO WERNER,4,ALL,107,2,1,0,0.56,0,0,0.01,26,0.77,0,0,3,9.9,9.2,0,0,0,0,2,0,0.56
SERGE GNABRY,4,ALL,251,4,1,0,0.51,1,0,0.14,68,0.76,2,0,9,11.5,4.5,2,0,0,0,6,1,1.19
THOMAS MÜLLER,4,ALL,292,6,1,0,0.77,3,0,1.11,131,0.78,1,2,9,10,8.4,2,0,0,0,14,2,3.32
KAI HAVERTZ,4,ALL,304,11,5,2,2.78,4,0,0.57,110,0.84,1,0,14,11.4,6.8,1,0,2,0,20,3,4.96
ILKAY GÜNDOGAN,3,ALL,221,1,0,0,0.09,1,0,0.11,184,0.93,3,1,17,8.8,2.5,0,0,0,0,9,2,1.98
MATTHIAS GINTER,1,ALL,346,1,1,0,0.38,1,0,0.12,289,0.91,6,3,18,9.3,5.1,0,0,0,0,11,2,2.64
ANTONIO RÜDIGER,1,ALL,360,2,1,0,0.1,0,0,0.07,294,0.93,1,1,22,10.8,7.2,0,0,0,0,6,2,1.57
JOSHUA KIMMICH,2,ALL,360,1,1,0,0.1,3,1,1.55,214,0.87,3,1,26,9.9,3,0,0,2,1,11,2,2.14
MARKO ARNAUTOVIC,4,AUT,217,8,3,1,1.02,4,0,0.51,63,0.68,1,1,7,12.5,3.1,0,0,0,0,14,1,1.28
MICHAEL GREGORITSCH,4,AUT,108,3,2,1,0.63,0,0,0.18,24,0.79,1,0,1,8.8,5.6,0,0,0,0,5,1,0.68
SASA KALAJDZIC,4,AUT,112,6,2,1,0.65,1,0,0.35,38,0.76,3,0,5,12,2.1,1,0,0,0,5,0,0.82
ANDREAS ULMER,2,AUT,180,0,0,0,0,0,0,0.08,71,0.76,1,0,9,13,7.2,0,0,0,0,7,2,1.59
FLORIAN GRILLITSCH,3,AUT,223,1,0,0,0.03,0,0,0.15,159,0.87,2,7,22,11.2,3.5,0,0,0,0,5,0,0.58
CHRISTOPH BAUMGARTNER,4,AUT,251,3,2,1,0.54,1,0,0.1,83,0.76,4,0,10,13.8,8.5,1,0,1,0,5,0,0.55
KONRAD LAIMER,4,AUT,337,2,1,0,0.1,3,1,0.31,110,0.72,2,1,17,14.9,9.9,0,0,1,0,11,1,0.94
ALEKSANDAR DRAGOVIC,1,AUT,339,1,0,0,0.1,0,0,0.07,229,0.86,5,9,23,10.7,6.7,0,0,0,0,8,1,1.19
XAVER SCHLAGER,3,AUT,368,5,1,0,0.15,5,0,0.15,155,0.82,11,3,28,9.9,5.8,1,0,2,0,15,0,0.93
STEFAN LAINER,2,AUT,384,3,1,1,0.64,1,0,0.22,169,0.73,7,7,20,11.7,8.9,0,0,0,0,10,1,1.31
DAVID ALABA,2,AUT,390,2,0,0,0.13,3,1,0.44,282,0.83,4,3,33,11.5,6,0,0,1,0,18,2,2.36
MARTIN HINTEREGGER,1,AUT,390,4,0,0,0.2,0,0,0.09,253,0.83,5,6,23,11.6,7.8,0,0,0,0,12,0,1.13
MARCEL SABITZER,3,AUT,390,11,0,0,0.47,4,1,1.54,219,0.87,3,3,26,10.9,3.6,2,0,0,0,22,2,2.65
DEDRYCK BOYATA,1,BEL,180,0,0,0,0,1,0,0.03,175,0.98,2,3,10,9,3.7,0,0,0,0,6,0,0.97
JASON DENAYER,1,BEL,180,1,0,0,0.03,0,0,0.03,160,0.92,0,2,8,9.7,6.4,1,0,0,0,6,0,0.99
THOMAS VERMAELEN,1,BEL,285,1,0,0,0.06,0,0,0.05,182,0.93,3,7,14,9.5,4.7,0,0,0,0,9,1,1.56
JAN VERTONGHEN,1,BEL,346,0,0,0,0,3,0,0.05,307,0.9,3,2,18,9.2,6.3,0,0,0,0,7,0,0.32
TOBY ALDERWEIRELD,1,BEL,360,2,0,0,0.12,0,0,0.09,291,0.88,2,2,12,8.5,4.7,1,0,0,0,6,1,0.52
NACER CHADLI,2,BEL,94,2,1,0,0.12,1,0,0.05,58,0.88,1,0,7,13.1,8,0,0,0,0,7,1,0.74
THOMAS MEUNIER,2,BEL,328,4,2,1,0.58,0,2,0.32,178,0.73,6,6,29,11.1,4.6,2,0,1,1,7,3,0.98
THORGAN HAZARD,2,BEL,358,4,3,2,0.67,1,0,0.11,237,0.87,7,5,24,10.9,4.8,1,0,1,0,12,3,1.04
LEANDER DENDONCKER,3,BEL,150,1,0,0,0.09,0,0,0.02,83,0.88,1,3,10,9.3,2.6,0,0,0,0,3,1,0.44
KEVIN DE BRUYNE,3,BEL,272,5,3,1,0.24,8,2,1.74,158,0.79,1,0,13,10.7,7.2,0,0,2,0,21,3,2.91
AXEL WITSEL,3,BEL,301,2,1,0,0.07,3,0,0.22,198,0.96,1,0,24,9.9,0.2,1,0,0,0,12,1,1.23
YOURI TIELEMANS,3,BEL,339,2,0,0,0.06,2,0,0.32,210,0.86,3,3,16,9,4.5,2,0,1,0,9,1,0.37
YANNICK CARRASCO,4,BEL,139,1,0,0,0.11,1,0,0.04,43,0.86,0,0,4,12,8,1,0,1,0,3,0,0.2
